x	y	fast_likelihood_quarks.yaml	custom_beta	global
-1.7404081632653061	-1.0612244897959184	-312.5583000220987	-165.15066371630985	-312.5583000220987
-1.7404081632653061	-0.9763265306122448	-271.3803354182204	-140.6703335938721	-271.3803354182204
-1.7404081632653061	-0.8914285714285715	-232.99995956445196	-118.12818695503256	-232.99995956445196
-1.7404081632653061	-0.8065306122448979	-197.90194826400727	-97.53033024520687	-197.90194826400727
-1.7404081632653061	-0.7216326530612245	-166.04733961170996	-78.88288763729383	-166.04733961170996
-1.7404081632653061	-0.6367346938775511	-137.39095883026306	-62.19200108582629	-137.39095883026306
-1.7404081632653061	-0.5518367346938775	-111.89783165172878	-47.46383038173872	-111.89783165172878
-1.7404081632653061	-0.46693877551020413	-89.50797549033632	-34.704553206769106	-89.50797549033632
-1.7404081632653061	-0.38204081632653053	-70.22746066069942	-23.920365188397	-70.22746066069942
-1.7404081632653061	-0.29714285714285715	-53.99562683532247	-15.117479954889745	-53.99562683532247
-1.7404081632653061	-0.21224489795918355	-40.76053999820249	-8.302129190418782	-40.76053999820249
-1.7404081632653061	-0.12734693877551018	-30.648621499427747	-3.480562690496299	-30.648621499427747
-1.7404081632653061	-0.0424489795918368	-23.35261067042694	-0.6590484175681013	-23.35261067042694
-1.7404081632653061	0.0424489795918368	-18.90862040594476	0.15612744331610884	-18.90862040594476
-1.7404081632653061	0.1273469387755104	-16.938513039426084	-1.0413395715216893	-16.938513039426084
-1.7404081632653061	0.21224489795918355	-18.434065901737426	-4.257772260462389	-18.434065901737426
-1.7404081632653061	0.29714285714285715	-22.641469719423355	-9.499511812906121	-22.641469719423355
-1.7404081632653061	0.38204081632653075	-29.658593651321382	-16.772917865803947	-29.658593651321382
-1.7404081632653061	0.46693877551020435	-39.36889330899214	-26.084368560316534	-39.36889330899214
-1.7404081632653061	0.5518367346938775	-51.94251828322348	-37.440260598669056	-51.94251828322348
-1.7404081632653061	0.6367346938775511	-67.26061739667603	-50.84700930126462	-67.26061739667603
-1.7404081632653061	0.7216326530612247	-85.30503659581854	-66.31104866396163	-85.30503659581854
-1.7404081632653061	0.8065306122448979	-106.0630794404338	-83.8388314154206	-106.0630794404338
-1.7404081632653061	0.8914285714285715	-129.52450392087837	-103.43682907484117	-129.52450392087837
-1.7404081632653061	0.9763265306122451	-155.67947450318616	-125.11153200970364	-155.67947450318616
-1.7404081632653061	1.0612244897959187	-184.56036234483508	-148.86944949397514	-184.56036234483508
-1.7404081632653061	1.1461224489795918	-216.13111958523325	-174.71710976612417	-216.13111958523325
-1.7404081632653061	1.2310204081632654	-250.31459793358465	-202.66106008748113	-250.31459793358465
-1.7404081632653061	1.315918367346939	-287.3526851278283	-232.70786680123672	-287.3526851278283
-1.7404081632653061	1.4008163265306122	-327.1776342434488	-264.8641153908312	-327.1776342434488
-1.7404081632653061	1.4857142857142858	-369.8365939631441	-299.13641053925005	-369.8365939631441
-1.7404081632653061	1.5706122448979594	-415.4320800814944	-335.5313761877545	-415.4320800814944
-1.7404081632653061	1.655510204081633	-463.97558658462003	-374.05565559606214	-463.97558658462003
-1.7404081632653061	1.7404081632653061	-515.5723987413205	-414.7159114011307	-515.5723987413205
-1.7404081632653061	1.8253061224489797	-570.3667793042914	-457.5188256775717	-570.3667793042914
-1.7404081632653061	1.9102040816326533	-628.4536352351118	-502.4710999972466	-628.4536352351118
-1.7404081632653061	1.9951020408163265	-689.9715735589269	-549.579455489746	-689.9715735589269
-1.7404081632653061	2.08	-755.0398582830977	-598.8506329024052	-755.0398582830977
-1.6555102040816327	-2.08	-1090.7484930535807	-607.8924092336887	-1090.7484930535807
-1.6555102040816327	-1.9951020408163267	-1005.192506265775	-560.6239057826191	-1005.192506265775
-1.6555102040816327	-1.910204081632653	-923.5632607180647	-515.2216688610268	-923.5632607180647
-1.6555102040816327	-1.8253061224489797	-845.8040067875696	-471.6915963406649	-845.8040067875696
-1.6555102040816327	-1.7404081632653061	-771.8619946842667	-430.03960318336374	-771.8619946842667
-1.6555102040816327	-1.6555102040816327	-701.6865293174791	-390.2716214925289	-701.6865293174791
-1.6555102040816327	-1.5706122448979594	-635.2197711996585	-352.39360056599264	-635.2197711996585
-1.6555102040816327	-1.4857142857142858	-572.4135957079371	-316.4115069484593	-572.4135957079371
-1.6555102040816327	-1.4008163265306122	-513.21830405854	-282.3313244840948	-513.21830405854
-1.6555102040816327	-1.3159183673469388	-457.5842238955555	-250.15905436933633	-457.5842238955555
-1.6555102040816327	-1.2310204081632654	-405.46452608694733	-219.90071520619597	-405.46452608694733
-1.6555102040816327	-1.1461224489795918	-356.8181199870253	-191.56234305520582	-356.8181199870253
-1.6555102040816327	-1.0612244897959184	-311.58612128068773	-165.14999148906816	-311.58612128068773
-1.6555102040816327	-0.9763265306122448	-270.2636274868954	-140.66973164598755	-270.2636274868954
-1.6555102040816327	-0.8914285714285715	-231.74556282366098	-118.12765228358171	-231.74556282366098
-1.6555102040816327	-0.8065306122448979	-196.51716091409014	-97.52985983287306	-196.51716091409014
-1.6555102040816327	-0.7216326530612245	-164.53928798450823	-78.8824784521754	-164.53928798450823
-1.6555102040816327	-0.6367346938775511	-135.76652526186353	-62.19165008153436	-135.76652526186353
-1.6555102040816327	-0.5518367346938775	-110.1637105281651	-47.46353449727212	-110.1637105281651
-1.6555102040816327	-0.46693877551020413	-87.67076605180193	-34.70430936647392	-87.67076605180193
-1.6555102040816327	-0.38204081632653053	-68.29327803538854	-23.920170301923918	-68.29327803538854
-1.6555102040816327	-0.29714285714285715	-51.970589040071275	-15.117330917080494	-51.970589040071275
-1.6555102040816327	-0.21224489795918355	-38.650530558520586	-8.30202288132648	-38.650530558520586
-1.6555102040816327	-0.12734693877551018	-28.45971077442539	-3.4804959752846116	-28.45971077442539
-1.6555102040816327	-0.0424489795918368	-21.089905048896696	-0.6590181464331408	-21.089905048896696
-1.6555102040816327	0.0424489795918368	-16.577498218536164	0.1561244351445339	-16.577498218536164
-1.6555102040816327	0.1273469387755104	-14.543640695102624	-1.0413726791557565	-14.543640695102624
-1.6555102040816327	0.21224489795918355	-15.98242352322751	-4.25783227259285	-15.98242352322751
-1.6555102040816327	0.29714285714285715	-20.13577601135262	-9.499595519412196	-20.13577601135262
-1.6555102040816327	0.38204081632653075	-27.103154788112647	-16.77302204130649	-27.103154788112647
-1.6555102040816327	0.46693877551020435	-36.76611551843837	-26.08448996415666	-36.76611551843837
