x	y	likelihood_ewpt.yaml	global
-1.7404081632653061	2.08	-166.4580117940494	-166.4580117940494
-1.6555102040816327	-2.08	-50131.21109792021	-50131.21109792021
-1.6555102040816327	-1.9951020408163267	-47994.12168367927	-47994.12168367927
-1.6555102040816327	-1.910204081632653	-45902.583198887114	-45902.583198887114
-1.6555102040816327	-1.8253061224489797	-43856.66805399215	-43856.66805399215
-1.6555102040816327	-1.7404081632653061	-41856.44859421406	-41856.44859421406
-1.6555102040816327	-1.6555102040816327	-39901.99709878448	-39901.99709878448
-1.6555102040816327	-1.5706122448979594	-37993.38578016843	-37993.38578016843
-1.6555102040816327	-1.4857142857142858	-36130.68678329467	-36130.68678329467
-1.6555102040816327	-1.4008163265306122	-34313.97218478214	-34313.97218478214
-1.6555102040816327	-1.3159183673469388	-32543.31399216136	-32543.31399216136
-1.6555102040816327	-1.2310204081632654	-30818.7841431038	-30818.7841431038
-1.6555102040816327	-1.1461224489795918	-29140.45450463687	-29140.45450463687
-1.6555102040816327	-1.0612244897959184	-27508.396872366382	-27508.396872366382
-1.6555102040816327	-0.9763265306122448	-25922.682969693724	-25922.682969693724
-1.6555102040816327	-0.8914285714285715	-24383.384447032815	-24383.384447032815
-1.6555102040816327	-0.8065306122448979	-22890.572881025517	-22890.572881025517
-1.6555102040816327	-0.7216326530612245	-21444.3197737552	-21444.3197737552
-1.6555102040816327	-0.6367346938775511	-20044.69655195606	-20044.69655195606
-1.6555102040816327	-0.5518367346938775	-18691.774566227137	-18691.774566227137
-1.6555102040816327	-0.46693877551020413	-17385.62509023874	-17385.62509023874
-1.6555102040816327	-0.38204081632653053	-16126.31931993924	-16126.31931993924
-1.6555102040816327	-0.29714285714285715	-14913.928372761538	-14913.928372761538
-1.6555102040816327	-0.21224489795918355	-13748.523286828195	-13748.523286828195
-1.6555102040816327	-0.12734693877551018	-12630.175020151895	-12630.175020151895
-1.6555102040816327	-0.0424489795918368	-11558.95444983799	-11558.95444983799
-1.6555102040816327	0.0424489795918368	-10534.932371284258	-10534.932371284258
-1.6555102040816327	0.1273469387755104	-9558.179497376746	-9558.179497376746
-1.6555102040816327	0.21224489795918355	-8628.766457689757	-8628.766457689757
-1.6555102040816327	0.29714285714285715	-7746.763797678361	-7746.763797678361
-1.6555102040816327	0.38204081632653075	-6912.241977871453	-6912.241977871453
-1.6555102040816327	0.46693877551020435	-6125.271373067113	-6125.271373067113
-1.6555102040816327	0.5518367346938775	-5385.922271519391	-5385.922271519391
-1.6555102040816327	0.6367346938775511	-4694.264874130819	-4694.264874130819
-1.6555102040816327	0.7216326530612247	-4050.369293637573	-4050.369293637573
-1.6555102040816327	0.8065306122448979	-3454.3055537965165	-3454.3055537965165
-1.6555102040816327	0.8914285714285715	-2906.1435885706805	-2906.1435885706805
-1.6555102040816327	0.9763265306122451	-2405.953241312054	-2405.953241312054
-1.6555102040816327	1.0612244897959187	-1953.8042639434195	-1953.8042639434195
-1.6555102040816327	1.1461224489795918	-1549.7663161389492	-1549.7663161389492
-1.6555102040816327	1.2310204081632654	-1193.908964503277	-1193.908964503277
-1.6555102040816327	1.315918367346939	-886.301681749468	-886.301681749468
-1.6555102040816327	1.4008163265306122	-627.0138458749424	-627.0138458749424
-1.6555102040816327	1.4857142857142858	-416.114739336238	-416.114739336238
-1.6555102040816327	1.5706122448979594	-253.67354822302065	-253.67354822302065
-1.6555102040816327	1.655510204081633	-139.75936142960023	-139.75936142960023
-1.6555102040816327	1.7404081632653061	-74.4411698260534	-74.4411698260534
-1.6555102040816327	1.8253061224489797	-57.787865427421536	-57.787865427421536
-1.6555102040816327	1.9102040816326533	-89.86824056173991	-89.86824056173991
-1.6555102040816327	1.9951020408163265	-170.75098703661962	-170.75098703661962
-1.6555102040816327	2.08	-300.50469530473754	-300.50469530473754
-1.5706122448979594	-2.08	-47772.08354110689	-47772.08354110689
-1.5706122448979594	-1.9951020408163267	-45685.11340983342	-45685.11340983342
-1.5706122448979594	-1.910204081632653	-43643.77818320802	-43643.77818320802
-1.5706122448979594	-1.8253061224489797	-41648.150206823106	-41648.150206823106
-1.5706122448979594	-1.7404081632653061	-39698.3017601781	-39698.3017601781
-1.5706122448979594	-1.6555102040816327	-37794.30505590001	-37794.30505590001
-1.5706122448979594	-1.5706122448979594	-35936.232238982506	-35936.232238982506
-1.5706122448979594	-1.4857142857142858	-34124.15538599944	-34124.15538599944
-1.5706122448979594	-1.4008163265306122	-32358.146504339384	-32358.146504339384
-1.5706122448979594	-1.3159183673469388	-30638.277531421976	-30638.277531421976
-1.5706122448979594	-1.2310204081632654	-28964.62033391989	-28964.62033391989
-1.5706122448979594	-1.1461224489795918	-27337.24670697951	-27337.24670697951
-1.5706122448979594	-1.0612244897959184	-25756.22837343862	-25756.22837343862
-1.5706122448979594	-0.9763265306122448	-24221.636983041342	-24221.636983041342
-1.5706122448979594	-0.8914285714285715	-22733.54411165393	-22733.54411165393
-1.5706122448979594	-0.8065306122448979	-21292.021260476246	-21292.021260476246
-1.5706122448979594	-0.7216326530612245	-19897.139855256348	-19897.139855256348
-1.5706122448979594	-0.6367346938775511	-18548.971245495693	-18548.971245495693
-1.5706122448979594	-0.5518367346938775	-17247.58670366269	-17247.58670366269
-1.5706122448979594	-0.46693877551020413	-15993.057424396495	-15993.057424396495
-1.5706122448979594	-0.38204081632653053	-14785.454523712142	-14785.454523712142
-1.5706122448979594	-0.29714285714285715	-13624.849038204902	-13624.849038204902
-1.5706122448979594	-0.21224489795918355	-12511.311924255495	-12511.311924255495
-1.5706122448979594	-0.12734693877551018	-11444.914057223745	-11444.914057223745
-1.5706122448979594	-0.0424489795918368	-10425.726230656004	-10425.726230656004
-1.5706122448979594	0.0424489795918368	-9453.819155477498	-9453.819155477498
-1.5706122448979594	0.1273469387755104	-8529.263459189526	-8529.263459189526
-1.5706122448979594	0.21224489795918355	-7652.129685065963	-7652.129685065963
-1.5706122448979594	0.29714285714285715	-6822.48829134427	-6822.48829134427
-1.5706122448979594	0.38204081632653075	-6040.409650418798	-6040.409650418798
-1.5706122448979594	0.46693877551020435	-5305.9640480307735	-5305.9640480307735
-1.5706122448979594	0.5518367346938775	-4619.221682456675	-4619.221682456675
-1.5706122448979594	0.6367346938775511	-3980.252663695996	-3980.252663695996
-1.5706122448979594	0.7216326530612247	-3389.1270126567124	-3389.1270126567124
-1.5706122448979594	0.8065306122448979	-2845.9146603404697	-2845.9146603404697
-1.5706122448979594	0.8914285714285715	-2350.6854470253097	-2350.6854470253097
-1.5706122448979594	0.9763265306122451	-1903.5091214470003	-1903.5091214470003
-1.5706122448979594	1.0612244897959187	-1504.455339979395	-1504.455339979395
-1.5706122448979594	1.1461224489795918	-1153.5936658135156	-1153.5936658135156
-1.5706122448979594	1.2310204081632654	-850.9935681342718	-850.9935681342718
-1.5706122448979594	1.315918367346939	-596.7244212971373	-596.7244212971373
-1.5706122448979594	1.4008163265306122	-390.8555040019714	-390.8555040019714
-1.5706122448979594	1.4857142857142858	-233.45599846691601	-233.45599846691601
-1.5706122448979594	1.5706122448979594	-124.59498959954108	-124.59498959954108
-1.5706122448979594	1.655510204081633	-64.34146416766993	-64.34146416766993
-1.5706122448979594	1.7404081632653061	-52.76430996826103	-52.76430996826103
-1.5706122448979594	1.8253061224489797	-89.93231499514592	-89.93231499514592
-1.5706122448979594	1.9102040816326533	-175.91416660526767	-175.91416660526767
-1.5706122448979594	1.9951020408163265	-310.77845068387546	-310.77845068387546
-1.5706122448979594	2.08	-494.5936508077987	-494.5936508077987
-1.4857142857142858	-2.08	-45468.4122184184	-45468.4122184184
-1.4857142857142858	-1.9951020408163267	-43431.65909435437	-43431.65909435437
-1.4857142857142858	-1.910204081632653	-41440.62478746814	-41440.62478746814
-1.4857142857142858	-1.8253061224489797	-39495.38157750934	-39495.38157750934
-1.4857142857142858	-1.7404081632653061	-37596.00167725583	-37596.00167725583
-1.4857142857142858	-1.6555102040816327	-35742.55723174422	-35742.55723174422
-1.4857142857142858	-1.5706122448979594	-33935.12031749198	-33935.12031749198
-1.4857142857142858	-1.4857142857142858	-32173.76294172552	-32173.76294172552
-1.4857142857142858	-1.4008163265306122	-30458.557041596137	-30458.557041596137
-1.4857142857142858	-1.3159183673469388	-28789.57448340719	-28789.57448340719
-1.4857142857142858	-1.2310204081632654	-27166.887061829053	-27166.887061829053
-1.4857142857142858	-1.1461224489795918	-25590.56649911663	-25590.56649911663
-1.4857142857142858	-1.0612244897959184	-24060.684444329312	-24060.684444329312
-1.4857142857142858	-0.9763265306122448	-22577.31247253911	-22577.31247253911
-1.4857142857142858	-0.8914285714285715	-21140.522084047017	-21140.522084047017
-1.4857142857142858	-0.8065306122448979	-19750.384703595264	-19750.384703595264
-1.4857142857142858	-0.7216326530612245	-18406.97167957369	-18406.97167957369
-1.4857142857142858	-0.6367346938775511	-17110.35428323075	-17110.35428323075
-1.4857142857142858	-0.5518367346938775	-15860.60370787733	-15860.60370787733
-1.4857142857142858	-0.46693877551020413	-14657.791068093127	-14657.791068093127
-1.4857142857142858	-0.38204081632653053	-13501.987398931964	-13501.987398931964
-1.4857142857142858	-0.29714285714285715	-12393.263655119696	-12393.263655119696
-1.4857142857142858	-0.21224489795918355	-11331.69071025785	-11331.69071025785
-1.4857142857142858	-0.12734693877551018	-10317.33935602083	-10317.33935602083
-1.4857142857142858	-0.0424489795918368	-9350.280301354887	-9350.280301354887
-1.4857142857142858	0.0424489795918368	-8430.584171671633	-8430.584171671633
-1.4857142857142858	0.1273469387755104	-7558.321508045406	-7558.321508045406
-1.4857142857142858	0.21224489795918355	-6733.562766403421	-6733.562766403421
-1.4857142857142858	0.29714285714285715	-5956.378316719064	-5956.378316719064
