BR(B->Knunu)	BR(tau->mununu)	BR(K->pinunu)	BR(B->mumu)	BR(Bs->mumu)	RK*	RD*	logL
5.565203760079877e-06	0.17286598774925782	1.5273403770640074e-10	1.1427939663927727e-10	3.6710357880833297e-09	0.9509107917204094	0.3416771178322465	20.475716
5.371005506880345e-06	0.1728697278539613	6.95059902775261e-11	1.1441474714118879e-10	3.729117343631465e-09	1.006329465590237	0.33469159757287087	17.270176
5.453721379224146e-06	0.1728575163951498	9.04927732039126e-11	1.1426377762781604e-10	3.693599513599823e-09	0.9963411174050658	0.33772376528277637	19.689363
5.946499357792172e-06	0.17275805276059278	1.6417885777896547e-10	1.144574234206973e-10	3.6802916254364577e-09	0.983128920171145	0.35832386241259395	22.211203
5.498946008758227e-06	0.1727655405025483	8.903604776454193e-11	1.1431194248236542e-10	3.670814047987917e-09	0.9366116360475079	0.34277808561621986	21.48055
6.236295238346363e-06	0.17277350226779578	1.3695004616940844e-10	1.1430909131194405e-10	3.6728757049729248e-09	0.9936500113818878	0.36667948041442994	22.588015
6.029951683893338e-06	0.1728496960222812	1.0315996328998704e-10	1.1431348865384652e-10	3.681681591913146e-09	0.9531095677193189	0.3572951341390012	21.706268
5.836668963226707e-06	0.17279354126494167	1.2885962227310186e-10	1.1433328018572287e-10	3.6741020468450994e-09	0.9967461281036968	0.35334530902453803	22.541895
5.662680660985103e-06	0.172794601540282	6.951287374802195e-11	1.1432046465104514e-10	3.6780837088397207e-09	0.9934456585670045	0.34693238560019796	22.00326
5.4687356374457505e-06	0.1728615058510898	1.0559812844743195e-10	1.1429840252720766e-10	3.6742613892197047e-09	0.9739371801839688	0.3385295911623491	21.406908
5.6616151124945155e-06	0.17285041989981012	1.2626052899002854e-10	1.1423657417705793e-10	3.6841937188294678e-09	0.9245638598960412	0.34463962690974576	20.719088
5.149783492964727e-06	0.17287734032677707	2.3291695926757216e-10	1.1415679812966732e-10	3.6915274514164475e-09	0.9802304873587528	0.32625236117459344	13.549638
5.695927017676661e-06	0.17285174198704392	8.462610138820923e-11	1.1426416820134788e-10	3.6760370840589106e-09	0.9877754816538385	0.3460919890406067	21.442717
6.02678035152451e-06	0.17284451505020462	6.95454576651047e-11	1.1426704893014088e-10	3.671545141824442e-09	0.98857897446176	0.35721136641185114	21.740677
5.529487981807536e-06	0.1728571188967296	6.940231068331544e-11	1.1428839418759618e-10	3.678641526147355e-09	0.9772136662852781	0.34048752975676044	21.680727
